ï»¿District Name,School Code,School Name,Year,SBE District,EVAAS Growth Status,Percent Participation,ACT Percent,ACT WorkKeys Percent,Passing Math III Percent,4-Year Cohort Graduation Rate Percent,5-Year Cohort Graduation Rate Percent,Graduation Project,EVAAS Growth Index,Percent Participation Targets Met,Passing NC Math 3 Percent
State of North Carolina,NC,State of North Carolina,'15-'16,,,94.9,59.9,73.5,>95,85.9,87.5,,,,
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'15-'16,Southwest Region,,86.6,60.3,76.1,>95,89.6,89.5,,,,
Charlotte-Mecklenburg Schools,600302,Ardrey Kell High,'15-'16,Southwest Region,Exceeded,100.0,90.6,92.4,>95,>95,>95,Y,,,
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,'15-'16,Southwest Region,Exceeded,95.1,81.1,91.2,>95,93.8,93,Y,,,
Charlotte-Mecklenburg Schools,600334,Cato Middle College High,'15-'16,Southwest Region,,66.7,89.7,*,>95,>95,>95,Y,,,
Charlotte-Mecklenburg Schools,600341,Cochrane Collegiate Academy,'15-'16,Southwest Region,Met,91.3,50,*,>95,84.8,86.7,Y,,,
Charlotte-Mecklenburg Schools,600361,Butler High,'15-'16,Southwest Region,Exceeded,92.5,63.1,77.9,>95,92.7,92.9,Y,,,
Charlotte-Mecklenburg Schools,600364,Military and Global Leadership Academy,'15-'16,Southwest Region,Met,95.8,63.6,*,>95,>95,>95,Y,,,
Charlotte-Mecklenburg Schools,600377,East Mecklenburg High,'15-'16,Southwest Region,Exceeded,91.1,61.5,82.5,>95,88.8,92.2,Y,,,
Charlotte-Mecklenburg Schools,600386,Hawthorne High,'15-'16,Southwest Region,Met,100.0,57.9,*,>95,82.1,71.7,Y,,,
Charlotte-Mecklenburg Schools,600397,Garinger High,'15-'16,Southwest Region,Exceeded,36.4,27.6,50,>95,80.1,90.5,Y,,,
Charlotte-Mecklenburg Schools,600405,Harding University High,'15-'16,Southwest Region,NotMet,54.5,23.5,66.7,>95,75.8,80.6,Y,,,
Charlotte-Mecklenburg Schools,600415,Hopewell High,'15-'16,Southwest Region,NotMet,94.6,46.1,82,>95,91.9,89.3,Y,,,
Charlotte-Mecklenburg Schools,600426,Independence High,'15-'16,Southwest Region,Exceeded,85.1,55.3,91,93.5,91.2,91.3,Y,,,
Charlotte-Mecklenburg Schools,600443,Levine Middle College High,'15-'16,Southwest Region,,100.0,94.7,*,>95,>95,>95,Y,,,
Charlotte-Mecklenburg Schools,600445,Mallard Creek High,'15-'16,Southwest Region,Exceeded,81.8,60.4,75.2,>95,>95,>95,Y,,,
Charlotte-Mecklenburg Schools,600457,Rocky River High,'15-'16,Southwest Region,NotMet,81.8,28.1,57.4,>95,89,93,Y,,,
Charlotte-Mecklenburg Schools,600461,Lincoln Heights Academy,'15-'16,Southwest Region,Met,0.0,*,,*,*,*,Y,,,
Charlotte-Mecklenburg Schools,600466,Myers Park High,'15-'16,Southwest Region,Exceeded,75.6,80.8,83.9,93.9,94,94.9,Y,,,
Charlotte-Mecklenburg Schools,600480,North Mecklenburg High,'15-'16,Southwest Region,NotMet,78.0,48.3,64.4,>95,94,92.4,Y,,,
Charlotte-Mecklenburg Schools,600482,Northwest School of the Arts,'15-'16,Southwest Region,Exceeded,100.0,82.6,,>95,>95,>95,Y,,,
Charlotte-Mecklenburg Schools,600496,Phillip O Berry Academy of Technology,'15-'16,Southwest Region,Met,100.0,64.6,81.1,>95,>95,>95,Y,,,
Charlotte-Mecklenburg Schools,600498,Performance Learning Center,'15-'16,Southwest Region,NotMet,80.0,75.6,*,89.2,91.8,>95,Y,,,
Charlotte-Mecklenburg Schools,600508,Providence High,'15-'16,Southwest Region,Exceeded,100.0,>95,>95,>95,>95,>95,Y,,,
Charlotte-Mecklenburg Schools,600535,South Mecklenburg High,'15-'16,Southwest Region,Exceeded,88.6,69.3,75.9,>95,93.9,92.4,Y,,,
Charlotte-Mecklenburg Schools,600576,West Charlotte High,'15-'16,Southwest Region,Met,34.5,19.6,55.4,>95,85.9,79.3,Y,,,
Charlotte-Mecklenburg Schools,600579,West Mecklenburg High,'15-'16,Southwest Region,NotMet,55.9,27.8,19.4,>95,87.2,86.5,Y,,,
Charlotte-Mecklenburg Schools,600592,Vance High,'15-'16,Southwest Region,Met,84.4,29.1,55.8,>95,85.5,89.8,Y,,,
Charlotte-Mecklenburg Schools,600693,Olympic High - Renaissance School,'15-'16,Southwest Region,Exceeded,55.2,52.8,*,>95,93.5,92.2,Y,,,
Charlotte-Mecklenburg Schools,600694,Olympic High-Math Eng Tech Science,'15-'16,Southwest Region,Met,92.6,74.6,71.1,>95,>95,>95,Y,,,
Charlotte-Mecklenburg Schools,600696,Olympic High-Leadership and Development,'15-'16,Southwest Region,Exceeded,63.6,18.1,*,>95,86.4,88.3,Y,,,
Charlotte-Mecklenburg Schools,600697,Olympic High - Biotech Health Pub Admin,'15-'16,Southwest Region,Exceeded,68.2,50.4,82.5,>95,94.7,90.7,Y,,,
State of North Carolina,NC,State of North Carolina,'16-'17,,,,58.8,73.3,,86.5,87.5,,,92.9,>95
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'16-'17,Southwest,,,56.3,77,,89.4,90.7,,,84.7,>95
Charlotte-Mecklenburg Schools,600302,Ardrey Kell High,'16-'17,Southwest,Exceeded,,87.6,92.3,,>95,>95,Y,11.75,97.7,>95
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,'16-'17,Southwest,Exceeded,,81.4,87.7,,93.3,94.6,Y,3.38,85.4,>95
Charlotte-Mecklenburg Schools,600334,Cato Middle College High,'16-'17,Southwest,,,94.8,*,,>95,>95,Y,,66.7,>95
Charlotte-Mecklenburg Schools,600341,Cochrane Collegiate Academy,'16-'17,Southwest,NotMet,,60.6,76.9,,77.8,87,Y,-2.56,100.0,>95
Charlotte-Mecklenburg Schools,600361,Butler High,'16-'17,Southwest,Exceeded,,58.1,91.2,,93.1,93.5,Y,7.07,92.9,>95
Charlotte-Mecklenburg Schools,600364,Military and Global Leadership Academy,'16-'17,Southwest,NotMet,,58.8,*,,90.3,>95,Y,-3.41,100.0,>95
Charlotte-Mecklenburg Schools,600377,East Mecklenburg High,'16-'17,Southwest,Exceeded,,54.7,85,,91,89.6,Y,7.23,93.3,>95
Charlotte-Mecklenburg Schools,600386,Hawthorne High,'16-'17,Southwest,Met,,61.5,86.7,,>95,82.1,Y,1.73,100.0,>95
Charlotte-Mecklenburg Schools,600397,Garinger High,'16-'17,Southwest,Exceeded,,19.2,59.6,,75.8,82.2,Y,8.08,42.1,>95
Charlotte-Mecklenburg Schools,600405,Harding University High,'16-'17,Southwest,Met,,21.5,48.8,,77,78.8,Y,-0.48,54.5,>95
Charlotte-Mecklenburg Schools,600415,Hopewell High,'16-'17,Southwest,NotMet,,40.9,82.8,,89.2,92.4,Y,-2.07,83.8,>95
Charlotte-Mecklenburg Schools,600426,Independence High,'16-'17,Southwest,Exceeded,,53.2,75.6,,89.3,91.5,Y,10.94,85.1,>95
Charlotte-Mecklenburg Schools,600439,Turning Point Academy,'16-'17,Southwest,NotMet,,*,,,<5,<5,Y,-10.17,0.0,
Charlotte-Mecklenburg Schools,600443,Levine Middle College High,'16-'17,Southwest,,,>95,>95,,>95,>95,Y,,100.0,>95
Charlotte-Mecklenburg Schools,600445,Mallard Creek High,'16-'17,Southwest,Exceeded,,50.5,70.5,,>95,>95,Y,2.78,73.3,>95
Charlotte-Mecklenburg Schools,600454,Metro School,'16-'17,Southwest,,,,,,<5,<5,Y,,,
Charlotte-Mecklenburg Schools,600457,Rocky River High,'16-'17,Southwest,Met,,23.5,60,,94.1,89.5,Y,-0.55,65.6,>95
Charlotte-Mecklenburg Schools,600461,Lincoln Heights Academy,'16-'17,Southwest,Met,,,,,*,*,Y,-0.19,22.2,
Charlotte-Mecklenburg Schools,600466,Myers Park High,'16-'17,Southwest,Exceeded,,76.4,74.1,,94.2,94.4,Y,3.03,61.9,94.9
Charlotte-Mecklenburg Schools,600480,North Mecklenburg High,'16-'17,Southwest,NotMet,,43.1,58.9,,>95,94.5,Y,-2.4,73.2,>95
Charlotte-Mecklenburg Schools,600482,Northwest School of the Arts,'16-'17,Southwest,Met,,75.6,*,,>95,>95,Y,1.75,100.0,>95
Charlotte-Mecklenburg Schools,600496,Phillip O Berry Academy of Technology,'16-'17,Southwest,Met,,55.5,76,,>95,>95,Y,-0.35,97.0,>95
Charlotte-Mecklenburg Schools,600498,Performance Learning Center,'16-'17,Southwest,NotMet,,38.1,*,,93,91.8,Y,-5.19,91.7,90.5
Charlotte-Mecklenburg Schools,600499,eLearning Academy,'16-'17,Southwest,NotMet,,77.4,*,,>95,,Y,-4.77,8.3,>95
Charlotte-Mecklenburg Schools,600508,Providence High,'16-'17,Southwest,Exceeded,,91.1,>95,,>95,>95,Y,7.29,100.0,>95
Charlotte-Mecklenburg Schools,600535,South Mecklenburg High,'16-'17,Southwest,Exceeded,,63.1,81,,93,94.1,Y,9.01,80.4,>95
Charlotte-Mecklenburg Schools,600576,West Charlotte High,'16-'17,Southwest,Exceeded,,17.6,42.9,,88.1,87.5,Y,2.5,28.6,>95
Charlotte-Mecklenburg Schools,600579,West Mecklenburg High,'16-'17,Southwest,NotMet,,21.4,48.3,,81.4,87.7,Y,-3.88,21.2,>95
Charlotte-Mecklenburg Schools,600592,Vance High,'16-'17,Southwest,Met,,27.5,66.2,,90.8,87.4,Y,-1.43,82.4,>95
Charlotte-Mecklenburg Schools,600693,Olympic High - Renaissance School,'16-'17,Southwest,NotMet,,49.6,*,,90.4,93.5,Y,-4.03,72.0,>95
Charlotte-Mecklenburg Schools,600694,Olympic High-Math Eng Tech Science,'16-'17,Southwest,Met,,65.7,90.7,,>95,>95,Y,0.54,96.3,>95
Charlotte-Mecklenburg Schools,600695,Olympic TEAM High School,'16-'17,Southwest,Met,,25.6,76.5,,>95,*,Y,-0.5,63.2,>95
Charlotte-Mecklenburg Schools,600696,Olympic High-Leadership and Development,'16-'17,Southwest,NotMet,,26.3,*,,88.2,88.8,Y,-3.86,21.1,>95
Charlotte-Mecklenburg Schools,600697,Olympic High - Biotech Health Pub Admin,'16-'17,Southwest,Exceeded,,53.2,84.6,,>95,>95,Y,4.99,84.0,>95
